number,company,symbol,ytd_return
1,"Robinhood Markets, Inc.",HOOD,250.11
2,Western Digital,WDC,178.44
3,Newmont,NEM,166.36
4,Seagate Technology,STX,162.00
5,Micron Technology,MU,139.71
6,Palantir Technologies,PLTR,134.95
7,Lam Research,LRCX,95.21
8,Advanced Micro Devices,AMD,92.85
9,NRG Energy,NRG,87.66
10,AppLovin Corporation,APP,86.36
11,Amphenol,APH,83.91
12,Intel,INTC,83.39
13,Oracle Corporation,ORCL,83.25
14,GE Vernova,GEV,82.56
15,Corning Inc.,GLW,82.45
16,CVS Health,CVS,81.42
17,GE Aerospace,GE,79.04
18,"Tapestry, Inc.",TPR,78.35
19,Howmet Aerospace,HWM,77.12
20,Constellation Energy,CEG,76.75
21,Supermicro,SMCI,76.03
22,KLA Corporation,KLAC,74.45
23,Warner Bros. Discovery,WBD,72.04
24,Monolithic Power Systems,MPWR,68.96
25,Paramount Skydance Corp,PSKY,62.72
26,DoorDash,DASH,59.03
27,Idexx Laboratories,IDXX,54.14
28,TE Connectivity,TEL,54.01
29,Uber,UBER,52.99
30,Vistra Corp.,VST,52.28
31,Interactive Brokers Group,IBKR,51.91
32,Broadcom,AVGO,51.79
33,"EMCOR Group, Inc.",EME,50.25
34,Huntington Ingalls Industries,HII,50.11
35,Caterpillar Inc.,CAT,48.83
36,eBay,EBAY,46.89
37,Jabil,JBL,44.47
38,Cencora,COR,43.17
39,United Rentals,URI,42.59
40,Take-Two Interactive,TTWO,41.24
41,CrowdStrike,CRWD,40.50
42,Applied Materials,AMAT,40.24
43,HCA Healthcare,HCA,39.35
44,BNY Mellon,BK,39.15
45,Johnson Controls,JCI,38.40
46,Quanta Services,PWR,38.27
47,Ralph Lauren Corporation,RL,37.47
48,Aptiv,APTV,37.16
49,Electronic Arts,EA,36.95
50,Dollar General,DG,36.90
51,Citigroup,C,36.67
52,Welltower,WELL,36.55
53,L3Harris,LHX,36.46
54,RTX Corporation,RTX,36.25
55,McKesson Corporation,MCK,35.55
56,First Solar,FSLR,35.18
57,Nvidia,NVDA,34.94
58,TKO Group Holdings,TKO,33.86
59,Allegion,ALLE,33.81
60,Johnson & Johnson,JNJ,32.70
61,Coinbase Global,COIN,32.69
62,Netflix,NFLX,32.65
63,Alphabet Inc. (Class A),GOOGL,32.48
64,Goldman Sachs,GS,32.28
65,Monster Beverage,MNST,32.25
66,Alphabet Inc. (Class C),GOOG,31.96
67,Wynn Resorts,WYNN,31.91
68,Arista Networks,ANET,31.72
69,Hasbro,HAS,31.42
70,Invesco,IVZ,31.01
71,Dell Technologies,DELL,30.84
72,Marathon Petroleum,MPC,30.00
73,Cardinal Health,CAH,29.57
74,Royal Caribbean Group,RCL,29.48
75,Estée Lauder Companies (The),EL,29.45
76,Philip Morris International,PM,29.41
77,Leidos,LDOS,29.11
78,O'Reilly Auto Parts,ORLY,28.72
79,American Electric Power,AEP,28.04
80,Valero Energy,VLO,28.02
81,Northrop Grumman,NOC,27.63
82,AbbVie,ABBV,27.32
83,Morgan Stanley,MS,26.97
84,Entergy,ETR,26.97
85,Gilead Sciences,GILD,26.75
86,Atmos Energy,ATO,26.64
87,Charles Schwab Corporation,SCHW,26.62
88,Incyte,INCY,26.34
89,Evergy,EVRG,25.94
90,W. R. Berkley Corporation,WRB,25.88
91,General Dynamics,GD,25.81
92,Exelon,EXC,25.61
93,CenterPoint Energy,CNP,25.59
94,Verisign,VRSN,25.49
95,Dollar Tree,DLTR,25.47
96,IBM,IBM,25.43
97,AutoZone,AZO,25.05
98,Archer Daniels Midland,ADM,24.70
99,JPMorgan Chase,JPM,24.67
100,Eversource Energy,ES,24.25
101,Xylem Inc.,XYL,24.02
102,Norfolk Southern Railway,NSC,23.86
103,Quest Diagnostics,DGX,23.83
104,LabCorp,LH,23.71
105,Steel Dynamics,STLD,23.70
106,WEC Energy Group,WEC,23.55
107,Altria,MO,22.96
108,Ulta Beauty,ULTA,22.66
109,Rockwell Automation,ROK,21.76
110,Bunge Global,BG,21.74
111,C.H. Robinson,CHRW,21.58
112,Northern Trust,NTRS,21.56
113,Meta Platforms,META,21.42
114,Cummins,CMI,21.21
115,Microsoft,MSFT,21.20
116,Martin Marietta Materials,MLM,21.10
117,Teledyne Technologies,TDY,20.97
118,Insulet Corporation,PODD,20.47
119,Mosaic Company (The),MOS,20.20
